Category,Internal description,Q10,A10,Q20,A20,Q30,A30,Q40,A40,Q50,A50
Mumbai Meri Jaan,About Mumbai,"Historically X was a cluster of villages that have now merged into the larger urban sprawl that we know. Some villages within X include:
Chimbai
Chuim
Ranwar
ID X",Bandra,"In the 19th century, the area where _____ station now stands was an open grazing ground for cattle. The British government designated this land as a pasture for cows and buffaloes to graze, as the city’s development had reduced open spaces for animals. As Mumbai expanded and urbanized, the grazing grounds gave way to infrastructure and development. However, the station retained the name _____, serving as a reminder of its pastoral origins.",Charni Road,"Found along Marine Drive and Worli Sea Face, these four-legged concrete structures help protect Mumbai’s coastline from strong waves and erosion. What are they called?",Tetrapods,"This is a meditation hall built in the Burmese architectural style and serves as a center for _________ __________, a technique taught by S. N. Goenka. 
It houses the world's largest stone dome built without supporting pillars.
What is this?",Global Vipasana Pagoda,The Gateway of India was built using yellow basalt stones over a reinforced concrete structure. From where were these stones quarried?,Malad. They are also known as Malad stones.
What's in a name,Names of certain phrases and things,"________ was Constantinople
Now it's ________, not Constantinople
Been a long time gone, Constantinople",Istanbul,"The name X is actually a Marathi word which means ladder. Historically, this name is believed to have originated because X was an important transit point between the island of Bombay and surrounding areas. It is considered one of Bombay's oldest residential areas.",Dadar,"X is an unplanned, natural trail or track created over time by people or animals taking the most convenient or direct route to their destination, rather than following a designed or paved path. These paths often emerge in parks, campuses, or urban spaces where sidewalks or walkways don’t align with how people naturally move through the area.",Desire path,"Give funda - Why are seconds called seconds? The seconds of a clock, not the ordinal number. ","The term “second” for the unit of time comes from the Latin phrase “pars minuta secunda,” which means “the second small part.” This phrase refers to a hierarchical division of time. Here’s the breakdown:
        1.        Hours were originally divided into minutes (pars minuta prima, meaning “first small part”).
        2.        Minutes were further divided into seconds (pars minuta secunda, meaning “second small part”).

So, the “second” is the second subdivision of an hour, which is why it got its name. This system was formalized in medieval times, and the name stuck as we adopted the modern concept of timekeeping.","The origin of X Y comes from the British influence, where The X referred to a wide promenade for social gatherings and military parades. Over time, some people started associating the X as a central Y connecting important areas including officer quarters, married accommodations, and other administrative buildings - but this is not its original meaning.
Many Indian hill stations still have famous X Ys that serve as key tourist attractions.",Mall Road
Hindi Songs in English,Hindi songs in English,"If you walk in the sun, your hair will turn gray,
If you walk on foot, your feet will get tired.
Listen to me, come with me!

No, baba, no, baba, not with you!


Hey, come sit in my car,
Come sit in my car! ",Aaja Meri Gaadi Mein Baith Jaa,"Every saint says, every sage says,
The one who has truth and courage in their heart
In the end, victory will be theirs.

Come, come, come, come!
No matter how long the roads may be,
Let your body not grow weary.

Come, come, hear the call of the path,
Let these roads not remain longing—so come!

You are the king of this land—know this well.
Face hardships head-on,
Do not accept defeat!",Mitwa,"Brother-in-law was sleeping on the terrace,
I mistook him for you and slept

Please forgive me, ____ __
It was my mistake",Mujhko Rana Ji Muaaf Karna,"It’s the rainy season, so what’s the point of going to ________?
But it’s the rainy season that makes it fun, my love!

If I get drenched, I’ll catch a cold and a cough.
We’ll take an umbrella—do you think I’m crazy?

I don’t know what to do.
I don’t even know what to say to you.

Oh, why are you thinking so much?
I’ll lead, you’ll follow.

Let’s just leave now—what else?",Aati Kya Khandaala,"Yes, the color of kohl will show, to ward off the evil eye
Bringing flowers from the gardens, to adorn the paths
Yes, in the shade of henna, let’s sing songs—______
Sway, dance, play music, and celebrate—______

______ ______, dusk-colored ______
______ ______, dusk-colored ______

From which garden have you arrived, oh you?
The color of henna blooms so red, like this
On fair palms, you blossom like flowers

______ ______ ______ ______",Bumbro
Fun with Flags,Describe a flag,This flag features a detailed white dragon called the Druk who holds jewels in its claws. The flag is diagonally divided into yellow and orange,Bhutan,"What national flag, known for its unique non-rectangular shape, consists of two stacked triangles and represents a country in South Asia, and is the only flag in the world that does not have four sides?",Nepal,The stars are arranged in nine rows of alternating five and six stars. Each star represents a state in the country. Which country?,United States of America,"This flag features six horizontal stripes symbolizing life, healing, sunlight, nature, harmony, and spirit.",Rainbow Flag (LGBTQ),Which south-east asian country's flag has the 2 colours - red and white - in equal amount?,Indonesia
Hollywood plot explained badly,Hollywood plot explained badly,"Rich orphan plays ninja, fights a fear-loving wizard, burns his house down, and decides bats are cool enough to become his whole personality.",Batman Begins,"Guy goes to jail for a crime he didn’t commit, digs a hole for decades, escapes, and redecorates a beach with his buddy.",Shawshank Redemption,A soap salesman suffers from insomnia and hallucinates.,Fight Club,"Two performers keep trying to outdo each other, using deception, sacrifices, and a shocking machine, until their rivalry destroys everything they care about.",The Prestige,"An unremarkable man, lost in his imagination, embarks on a real journey spanning continents, all sparked by a missing item and a call to action.",The Secret Life of Walter Mitty
English Grammar,English Grammar,"What part of speech describes or modifies a noun by giving more information about it, such as its size, color, or quality?",Adjective,"X is a part of speech that names a person, place, thing, idea, or concept. Xs are often the subject or object in a sentence and can typically be identified as the “who” or “what” that is being discussed.",Noun,"Which part of speech connects words, phrases, or clauses in a sentence?",Conjunction,"Which part of speech describes how, when, where, or to what extent an action is performed?",Adverb,"What punctuation mark, commonly used before the final item in a list, helps to clarify meaning by separating items distinctly, especially in complex sentences or lists, and is the subject of a long-standing debate among grammarians regarding its necessity in modern English?",Oxford Comma
Sports,Sports,A divine yet deceptive touch in 1986 FIFA World Cup quarter-final against England changed football history forever. What is it called?,Hand of God,X is known as the God of a certain sport. Ironically his most famous injury is named after a different sport. ID the injury,Tennis Elbow,"Invented by Joel Pritchard, Bill Bell, and Barney McCallum on Bainbridge Island, Washington in 1965. This sport incorporates elements from Tennis, Ping Pong, and Badminton.",Pickleball,"She ended India's 12 year-shooting medal drought by winning bronze in the women's 10m air pistol event. Additionally, she partnered with Sarabjot Singh to clinch another bronze in the 10m air pistol mixed team event, making her the first Indian to win two medals at the same Olympics since India’s independence.",Manu Bhaker,"Label X and Y correctly, no part points on getting only 1. Full negative on getting only 1.

X and Y both describe the airflow behind a car, Y is the advantageous reduction of drag on straights, while X is the disadvantageous turbulence in corners. 
","X - Dirty Air, Y - Slipstream"
Yeh Rishta Kya Kehlata Hai,Guess celebrity related to another,"Crikey! 
Robert _____ and Bindi _____ continue to work in the conservationist space just like their late father.
Who was their father?",Steve Irwin,The voice of Darth Vader and Mufasa,James Earl Jones,"XYZ is a Bollywood Actor, YZ is a Bollywood Playback singer, just like his father Z.
In an awards ceremony in 2009, XYZ asked SRK to ""shut up"".
ID X Y Z","X Neil
Y Nitin
Z Mukesh","X once infamously left his son Y at a gas station for losing a race when Y was just 9 years old.
Y is now a successful racecar driver.","X - Jos
Y - Max","Who connects these people?
Grzegorz Gajewski 
Radoslaw Wojtaszek 
P______ H___________
Vincent Keymer
Jan-Krzysztof Duda
Jan Klimkowski
V___________ A____ 
Paddy Upton",Gukesh D
Origin Story,"Story written, guess what this story is about","What principle in technology predicts that the number of transistors on a microchip will double approximately every two years, leading to exponential increases in computing power and a decrease in relative cost?",Moore's Law,"In 1991 a group of researchers at the University of Cambridge's Computer Science Department often found themselves disappointed when they went to get coffee only to discover the pot was empty. To solve this, they set up a ______ that allowed them to see the coffee level without leaving their desks. This was initially available within the department, but in 1993, it was connected to the World Wide Web, making it the first publicly accessible X. ID X",Webcam,"X is a life-saving technique, developed by Dr. _____ X, that involves abdominal thrusts to dislodge an object blocking a person’s airway, commonly used in choking emergencies.",Heimlich Manoeuvre,"_______ _______ was composed by the 16th century Indian poet-saint Tulsidas in Awadhi, a dialect of Hindi. 
According to some legends, it is believed that Tulsidas wrote the _______ _______ while imprisoned by Mughal emperor Aurangzeb, and this composition led to a series of events that resulted in his release. ",Hanuman Chalisa,"What term describes a benchmark for gender representation in fiction, assessing whether a work includes at least two named women who have a conversation about something other than a man. Movies like The Lord of the Rings trilogy, The Social Network, and Pulp Fiction have failed this test.",Bechdel test
Inn he logo ne,"Logo description, guess brand (no picture)","Which global chain features a green logo with a twin-tailed mermaid, also known as a siren?",Starbucks,"The ________ logo is a bold, blue “_” composed of 25 smaller icons, each representing different aspects of ________'s business, including food, beverages, personal care, and sustainability. ",Unilever,"The _____ logo features a stylized swan emblem that is elegant and minimalistic. The swan is often depicted in white or silver, symbolizing purity, luxury, and sophistication. The swan typically appears alongside the word “_____” written in an all-caps sans-serif typeface, which complements the sleek and modern design of the logo.",Swarovski,"This brand’s logo features a design inspired by Greek mythology, depicting the head of a figure known for turning onlookers to stone.",Versace,"Which luxury fashion brand, known for its iconic orange packaging, features a logo with a horse-drawn carriage?",Hermes
